ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B72838.Cajamarca.Contumaza	Contumaza	j	f	26.2	10.58	3.05	4.31	69.97	78.25	41.15	12.36	21.13	16.53
B72837.Cajamarca.Contumaza	Contumaza	a	m	25.7	12.12	3.12	NA	NA	79.38	44.93	NA	23.13	15.79
B72841.Cajamarca.Contumaza	Contumaza	a	m	27	11.68	3.24	4.33	NA	84.68	46.45	12.08	21.37	16.6
B72840.Cajamarca.Contumaza	Contumaza	a	f	23.5	11.57	3.01	4.24	74.64	81.95	47.84	10.4	22.03	17.79
B72839.Cajamarca.Contumaza	Contumaza	a	f	25.4	11.28	3.1	4.37	72.87	74.49	NA	10.82	22.09	17.91
NK_171957	Contumaza	j	m	25.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_172033	Contumaza	a	f	22.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_172063	Contumaza	a	m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSU84687.Cajamarca.Cutervo	Cutervo	a	m	24	10.68	4.18	4.03	70.45	74.18	39.59	10.87	20.95	15
LSU84688.Cajamarca.Cutervo	Cutervo	a	m	22	10.87	3.36	4.43	70.54	76.77	41.74	12.62	22.79	16.53
LSU87795.Cajamarca.Cutervo	Cutervo	j	f	18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72852.Amazonas.Duraznopampa	Duraznopampa	a	f	19.2	10.32	2.85	3.96	67.62	76.63	34.72	11.02	19.7	16.23
B72856.Amazonas.Duraznopampa	Duraznopampa	a	f	21.3	10.95	2.98	3.87	66.54	71.28	35.43	10.76	19.82	15.47
B72853.Amazonas.Duraznopampa	Duraznopampa	a	m	22.8	10.37	2.92	4.3	74.41	79.35	38.35	10.14	20.3	14.6
B72857.Amazonas.Duraznopampa	Duraznopampa	a	m	20.5	11.38	2.88	4.07	69.72	76.52	38.49	12.33	20.6	16.35
B72858.Amazonas.Duraznopampa	Duraznopampa	a	m	22.4	10.45	2.73	4.22	72.56	77.4	39.33	10.41	20.53	17.12
B72861.Amazonas.Duraznopampa	Duraznopampa	a	m	24.2	10.51	2.89	4.3	71.4	73.51	41.29	12.02	21.26	16.7
B72859.Amazonas.Duraznopampa	Duraznopampa	a	f	22	10.87	3.04	4.04	67.88	69.7	41.72	11.09	20.45	16.79
B72860.Amazonas.Duraznopampa	Duraznopampa	j	m	19.3	9.16	2.66	3.83	68.73	74.89	41.77	11.36	20.4	16.09
B72854.Amazonas.Duraznopampa	Duraznopampa	a	m	19.3	10.84	2.79	3.83	67.86	77.07	43.02	11.89	20.99	16.2
B72855.Amazonas.Duraznopampa	Duraznopampa	a	f	24.1	10.6	2.62	4.06	69.52	75.92	damaged	11.34	20.46	16.88
B72831.LaLibertad.ElMolino	ElMolino	a	f	26.9	11.64	3.41	4.65	75.18	83.22	41.28	11.48	22.39	17.57
B72828.LaLibertad.ElMolino	ElMolino	a	m	25.2	10.83	3.05	4.38	77.35	molt	41.95	11.27	19.44	15.82
B72827.LaLibertad.ElMolino	ElMolino	a	f	25.1	10.94	damaged	4.04	75.19	82.16	42.97	12.53	21.93	18.42
B72836.LaLibertad.ElMolino	ElMolino	a	m	27	11.61	3.06	4.47	79.46	82.71	43.94	14.12	22.29	17.05
B72835.LaLibertad.ElMolino	ElMolino	a	f	26.8	11.49	3.27	4.66	molt	74.9	44.76	9.86	22.91	18.84
B72829.LaLibertad.ElMolino	ElMolino	a	m	26.2	12.13	3.1	4.13	80.03	81.68	44.85	13.55	22	17.26
B72832.LaLibertad.ElMolino	ElMolino	a	m	25.5	12.11	3.29	4.38	76.96	81.51	46.99	12.5	22.89	16.9
B72830.LaLibertad.ElMolino	ElMolino	a	m	26.8	12.47	3.19	4.5	78.69	80.82	48.73	12.91	22.82	17.05
B72834.LaLibertad.ElMolino	ElMolino	a	m	27.6	11.54	2.98	4.55	80.32	damaged	damaged	damaged	21.9	15.44
B72833.LaLibertad.ElMolino	ElMolino	a	f	25.5	10.39	3.06	4.42	76.85	80.88	NA	12.76	22.54	16.67
LSU169821.Cajamarca.Espino	Espino	a	f	17	9.4	2.6	3.75	67.7	69.09	42.02	10.19	19.43	16.63
LSU169820.Cajamarca.Espino	Espino	j	f	17.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72890.Lima.Huamatanga	Huamatanga	j	m	19.6	9.68	2.59	3.85	63.77	73.4	34.8	10.92	21.11	15.65
B72892.Lima.Huamatanga	Huamatanga	a	f	21	10.36	2.91	3.91	NA	72.93	36.27	10.62	20.19	15.39
